Word              Count
=======================
a                 558
abarrowful        1
abat              1
abidefigures      1
able              1
about             79
aboutamong        1
aboutand          1
aboutby           1
abouther          3
aboutit           3
aboutthis         1
abouttrying       1
above             2
abranch           1
absenceand        1
absurd            2
acceptance        1
accident          2
accidentally      1
account           1
accounting        1
accounts          1
accusation        1
accustomed        1
ache              1
across            4
act               1
actually          1
acurious          3
ada               1
added             20
addedand          1
addressed         1
addressedto       1
adjourn           1
adoor             1
adoption          1
adormouse         1
aduck             1
advance           2
advancethey       1
advantage         3
adventures        4
adventuresbeginning1
advice            2
advisable         2
advise            1
afew              1
affair            1
affectionatelyinto1
afford            1
aforeshe          1
afraid            10
afrightened       1
after             39
afterit           1
aftertime         1
afterwards        2
again             61
againand          1
againbefore       1
againfor          1
againin           2
againit           1
againsinging      1
againso           1
against           7
age               3
ageas             1
ago               2
agony             1
agood             2
agraceful         1
agreat            1
agree             1
agreeto           1
ah                5
ahard             1
ahead             1
ahem              1
ahoarse           1
ahurry            2
aima              1
air               13
airs              1
alarge            1
alarm             1
alarmed           1
alas              4
alice             348
aliceall          1
aliceand          2
aliceangrily      1
alicebegan        1
alicebut          1
alicedodged       1
alicelooked       1
aliceonly         1
alicequite        2
alicerecognised   1
alicereplied      1
alices            12
alicethink        1
alicethought      2
aliceventured     1
alicewas          1
alicewhen         1
alittle           5
alive             2
alivefor          1
all               161
allanxious        1
alldirections     1
allhe             1
allow             3
allthat           1
allthe            2
allturning        1
almost            5
alone             4
along             5
alongcatch        1
aloud             3
aloudaddressing   1
aloudi            1
alow              2
already           2
also              2
altered           1
alternately       1
altogether        4
altogetherthat    1
always            9
alwayslay         1
alwaysteatime     1
am                14
amelancholy       1
aminute           2
amoment           2
amoments          1
among             9
amongthem         1
amoral            1
amousea           1
an                51
ancient           1
and               713
anda              1
andalice          2
andall            2
andas             2
andbehind         1
andbeing          1
andby             1
andcrept          1
andday            1
andeverybody      1
andfeet           1
andfound          1
andfurrows        1
andget            1
andgloves         1
andgrowing        2
andhanded         1
andhe             2
andher            2
anditll           1
andlooked         2
andlooking        3
andloving         1
andmaking         2
andmanaged        1
andmorcar         2
andno             1
andnoticed        1
andoh             1
andrightly        1
andrubbing        1
andsee            1
andseemed         1
andshe            4
andsimply         1
andstrange        1
andthat           1
andthe            3
andthen           2
andthey           1
andthought        1
andturning        1
anduncomfortable  1
anduntwist        1
andwaited         1
andwaving         1
andwent           1
andwhat           1
andwhen           1
andwhispered      1
andwondering      1
andwritingdesks   1
andyet            1
anger             2
angrily           7
angry             3
animal            1
animals           5
animpatient       1
aninvitation      1
anm               1
ann               3
annand            1
annoy             1
annoyed           1
anopen            1
another           18
anothermoment     1
anotherquestion   1
answer            8
answered          4
answers           1
antipathies       1
anxious           1
anxiouslook       1
anxiously         10
anxiouslyinto     1
anxiouslylooking  1
any               37
anymore           1
anysense          1
anything          18
anywhere          1
apair             1
apiece            1
appealed          1
appear            2
appearance        1
appeared          6
appearedand       1
appearedto        1
applause          1
apples            2
apuzzled          1
arch              1
archbishop        2
arches            3
archesare         1
are               46
arepainting       1
areyou            2
argue             1
argued            1
argument          4
arguments         1
arithmeticambition1
arm               11
armchair          1
arminarm          1
arms              6
around            2
arranged          1
arrived           1
arrow             1
arrum             1
as                237
asbefore          1
aserpent          2
ashamed           2
ashe              1
asi               1
asif              1
asigh             1
asit              2
ask               11
askancesaid       1
asked             13
askedtriumphantly 1
asking            5
asleep            6
asleepagain       1
asleepinstantly   1
asorrowful        2
aspigs            1
assembled         2
asserpents        1
asshe             2
asthe             1
asthey            1
asudden           1
asyet             1
at                190
atall             3
ate               1
atfirst           2
athaving          1
atheling          1
athick            1
athreelegged      1
atit              1
atlast            4
atleast           1
atom              2
atrembling        1
attempt           1
attempted         1
attended          1
attending         3
attends           1
atthe             2
atyou             1
audibly           1
australia         1
authority         2
avery             1
aviolent          1
avoid             1
away              19
awaycomfortably   1
awayunder         1
awfully           1
awhisper          1
aworld            1
axes              1
axis              1
baby              12
babythe           1
back              31
backagain         2
backsomersault    1
backswas          1
backthe           2
bad               1
badcold           1
bag               1
baked             1
balanced          1
balls             1
bank              2
